Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
Notes:,,,,,,,,,,,,,,
Key to column headings:- Fl = Number of Fouls Y = Number of Yellow cards R = Number of Reds Sh = Number of Shots ShT = Number of Shots on Target,,,,,,,,,,,,,,
1,Ath Madrid,38,28,6,4,77,26,51,90,526,97,3,503,202
2,Barcelona,38,27,6,5,100,33,67,87,426,72,1,643,266
3,Real Madrid,38,27,6,5,104,38,66,87,450,74,3,743,301
4,Ath Bilbao,38,20,10,8,66,39,27,70,486,76,4,510,189
5,Sevilla,38,18,9,11,69,52,17,63,572,111,8,499,163
6,Villarreal,38,17,8,13,60,44,16,59,528,71,4,436,160
7,Sociedad,38,16,11,11,62,55,7,59,456,75,1,503,191
8,Valencia,38,13,10,15,51,53,-2,49,492,92,4,524,176
9,Celta,38,14,7,17,49,54,-5,49,516,78,4,494,171
10,Levante,38,12,12,14,35,43,-8,48,649,109,9,364,125
11,Malaga,38,12,9,17,39,46,-7,45,567,112,9,473,156
12,Vallecano,38,13,4,21,46,80,-34,43,543,98,9,537,176
13,Espanol,38,11,9,18,41,51,-10,42,611,92,7,415,136
14,Getafe,38,11,9,18,35,54,-19,42,580,118,8,429,133
15,Granada,38,12,5,21,32,56,-24,41,543,97,9,432,129
16,Elche,38,9,13,16,30,50,-20,40,534,110,8,403,125
17,Almeria,38,11,7,20,43,71,-28,40,562,95,5,397,146
18,Osasuna,38,10,9,19,32,62,-30,39,493,85,8,433,134
19,Valladolid,38,7,15,16,38,60,-22,36,525,101,2,373,126
20,Betis,38,6,7,25,36,78,-42,25,543,103,9,501,162
